recommendation_type,entity_type,entity_id,priority,risk_level,probability,recommendation,business_reason,booking_id,customer_id,cancellation_probability_pct,intervention_type,recommended_action,business_objective,customer_segment,route_name,source,destination,booking_count,seats_booked,total_revenue,forecast_demand,average_forecast_demand,priority_score
Win-back Campaign,Customer,CUST04318,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04320,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04323,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04324,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04325,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04326,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04332,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST04333,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST04334,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04335,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04337,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04340,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST04343,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04344,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04345,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST04346,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST04347,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04348,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04349,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04352,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST04354,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04355,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04358,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST04361,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04362,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04363,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST04364,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04366,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST04369,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04370,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04371,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04373,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04374,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04375,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04376,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST04377,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04378,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04380,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04381,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04383,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04384,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST04386,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04390,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04391,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04392,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04395,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04398,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04399,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04401,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST04403,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04405,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04407,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04408,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04409,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04411,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST04415,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04416,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04418,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04421,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04425,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04431,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST04432,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04433,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04434,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST04436,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04438,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST04439,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04441,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04442,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04445,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04448,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04449,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04450,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04452,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04453,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04454,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04455,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04457,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04458,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04461,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04462,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04464,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST04468,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04469,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04470,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04471,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04472,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04476,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04479,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04480,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04481,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04482,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST04490,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST04491,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04492,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04495,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04496,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04497,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04498,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04499,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04500,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04501,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04503,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04505,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04506,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04507,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04508,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04511,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04512,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04513,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04514,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04515,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST04517,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04520,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04522,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04523,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04525,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04526,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST04527,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST04530,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04531,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST04532,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04534,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04535,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04537,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04539,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04543,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST04545,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04548,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04551,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04552,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04553,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04554,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04556,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04557,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04558,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04560,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST04562,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04563,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04566,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04569,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST04571,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST04572,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST04573,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST04575,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST04577,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST04578,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST04579,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST04581,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST04582,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST04584,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST04587,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST04590,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
